Inference for Stan model: ACNQSRR101_model
4 chains: each with iter=(1000,1000,1000,1000); warmup=(0,0,0,0); thin=(1,1,1,1); 4000 iterations saved.
Warmup took (17843, 16651, 16844, 17598) seconds, 19 hours total
Sampling took (15824, 16193, 15319, 15923) seconds, 18 hours total
                        Mean     MCSE   StdDev        5%       50%       95%    N_Eff  N_Eff/s    R_hat
param[49,2]        -1.1e+000 1.3e-003 2.9e-002 -1.1e+000 -1.1e+000 -1.0e+000 5.1e+002 8.0e-003 1.0e+000
param[49,3]         4.3e-001 1.9e-003 3.8e-002  3.7e-001  4.4e-001  4.9e-001 4.1e+002 6.5e-003 1.0e+000
param[50,1]         2.1e+000 1.7e-003 4.4e-002  2.1e+000  2.1e+000  2.2e+000 6.9e+002 1.1e-002 1.0e+000
param[50,2]        -8.6e-001 6.4e-004 1.6e-002 -8.9e-001 -8.6e-001 -8.4e-001 6.5e+002 1.0e-002 1.0e+000
param[50,3]         4.3e-001 9.7e-004 2.3e-002  3.9e-001  4.3e-001  4.7e-001 5.8e+002 9.1e-003 1.0e+000
param[51,1]         2.5e+000 1.4e-003 3.2e-002  2.5e+000  2.5e+000  2.6e+000 5.6e+002 8.8e-003 1.0e+000
param[51,2]        -7.4e-001 1.4e-003 3.5e-002 -7.9e-001 -7.4e-001 -6.8e-001 6.3e+002 1.0e-002 1.0e+000
param[51,3]         8.5e-002 1.5e-003 3.3e-002  3.5e-002  8.2e-002  1.4e-001 4.6e+002 7.3e-003 1.0e+000
param[52,1]         2.3e+000 3.6e-003 7.4e-002  2.2e+000  2.2e+000  2.4e+000 4.3e+002 6.8e-003 1.0e+000
param[52,2]        -1.1e+000 9.9e-004 2.4e-002 -1.2e+000 -1.1e+000 -1.1e+000 6.0e+002 9.5e-003 1.0e+000
